rr1,rr_turns,ra1,ra_turns,rd1,rd_turns,ir1,ir_turns,ia1,ia_turns,id1,id_turns,nr1,nr_turns,na1,na_turns,nd1,nd_turns,cr1,cr_turns,ca1,ca_turns,cd1,cd_turns,ur1,ur_turns,ua1,ua_turns,ud1,ud_turns,sr1,sr_turns,sa1,sa_turns,sd1,sd_turns,pr1,pr_turns,pa1,pa_turns,pd1,pd_turns,fr1,fr_turns,fa1,fa_turns,fd1,fd_turns,er1,er_turns,ea1,ea_turns,ed1,ed_turns,mr1,mr_turns,ma1,ma_turns,md1,md_turns
0,10,0,130,0,50,1,285,0,70,1,200,0,120,0,60,0,30,1,150,0,615,0,215,1,55,0,40,0,135,1,195,0,125,1,360,1,105,0,180,0,180,0,110,0,120,0,75,1,110,0,260,0,65,1,50,1,825,0,115
0,45,0,20,1,360,0,100,0,40,0,45,0,45,0,70,0,20,1,265,0,95,0,40,1,110,0,65,0,20,0,55,0,115,0,165,1,205,0,230,1,160,1,140,1,100,1,230,1,65,0,1185,0,140,0,150,0,35,0,90
0,60,0,70,0,40,0,140,0,60,0,85,0,35,0,15,0,30,0,25,0,325,0,70,0,60,0,25,0,90,1,220,0,735,0,115,0,330,0,60,0,45,0,70,0,80,1,450,0,55,0,210,0,130,1,50,0,30,0,25
1,95,0,20,0,45,1,110,0,150,0,50,0,50,0,40,0,50,0,125,0,285,0,45,0,375,0,205,0,65,1,120,0,175,1,205,1,60,1,685,0,270,0,190,0,55,1,170,0,90,0,85,0,35,1,40,1,200,0,30
0,35,1,255,1,255,1,135,0,60,0,65,0,90,0,90,0,75,0,60,0,230,0,45,1,60,0,60,0,20,0,70,0,135,0,125,0,100,0,50,1,115,1,70,0,145,0,30,0,65,0,155,0,25,0,65,0,70,1,190
0,80,0,190,1,355,1,90,0,175,0,25,0,35,0,75,0,25,0,1145,0,115,0,45,0,25,0,20,0,40,1,235,0,245,0,40,1,160,0,100,1,80,0,60,0,470,0,65,1,120,0,115,0,65,1,165,0,345,0,45
1,175,1,600,0,85,1,70,0,45,1,105,0,45,0,65,0,25,0,50,0,40,0,70,1,190,0,60,0,175,0,140,0,270,0,280,1,100,0,135,1,140,0,95,1,365,0,80,1,195,0,110,0,50,0,35,0,65,0,60
0,170,0,110,0,75,1,100,0,175,0,100,0,110,0,75,0,60,0,160,0,255,0,45,0,55,1,260,0,20,1,60,1,190,1,155,0,225,0,75,0,50,1,175,0,85,0,95,1,200,0,55,0,125,1,320,1,165,0,215
0,110,0,120,0,170,0,175,0,165,0,40,0,70,0,105,0,40,0,75,0,55,0,30,1,60,0,50,0,35,1,135,1,255,0,40,1,165,0,140,1,235,0,195,0,715,0,20,0,1195,0,50,0,135,0,195,0,90,0,40
0,20,0,40,0,55,0,20,0,270,0,220,0,180,0,25,0,40,1,250,0,145,0,25,1,90,0,155,0,90,0,45,0,70,0,210,0,280,0,85,0,25,0,215,1,205,0,80,1,90,0,25,0,40,0,365,0,95,0,55
